values,fault
0.0618695399849381,False
0.03456628709496991,False
0.06269652739621237,False
0.07220349433095358,False
0.07428928191588706,False
0.05421533206956003,False
0.051081613957496386,False
0.010267982966487914,False
1.0,True
0.04415854377828055,False
0.0375887856116472,False
1.0,True
0.039262844447430854,False
0.0775366879109256,False
0.391168782498706,False
0.029431014673345652,False
0.030862940560317825,False
0.715595846541433,False
0.06610927857756521,False
0.02858790240687278,False
0.05109772007520083,False
0.02387044267082503,False
0.0,False
0.03386745275391064,False
0.04663211550160556,False
0.07754361101232556,False
0.15735254051918393,False
0.007034310331980938,False
0.08148013319193737,False
0.0,False
0.06827670251673146,False
0.002064115307506316,False
0.43560575994189343,False
0.08281350916605779,False
